system:index,CGIAR_Aridity_Index,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Isothermality,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Mean_Diurnal_Range,CHELSA_BIO_Mean_Temperature_of_Coldest_Quarter,CHELSA_BIO_Mean_Temperature_of_Driest_Quarter,CHELSA_BIO_Mean_Temperature_of_Warmest_Quarter,CHELSA_BIO_Mean_Temperature_of_Wettest_Quarter,CHELSA_BIO_Min_Temperature_of_Coldest_Month,CHELSA_BIO_Precipitation_Seasonality,CHELSA_BIO_Precipitation_of_Coldest_Quarter,CHELSA_BIO_Precipitation_of_Driest_Month,CHELSA_BIO_Precipitation_of_Driest_Quarter,CHELSA_BIO_Precipitation_of_Warmest_Quarter,CHELSA_BIO_Precipitation_of_Wettest_Month,CHELSA_BIO_Precipitation_of_Wettest_Quarter,CHELSA_BIO_Temperature_Annual_Range,CHELSA_BIO_Temperature_Seasonality,CHELSA_exBIO_FrostChangeFrequency,CHELSA_exBIO_FrostDays,Cntry_O,Contnnt,EarthEnvCloudCover_Mean,EarthEnvTexture_Shannon_Index,EarthEnvTexture_Simpson_Index,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EsaCci_SnowProbability,FanEtAl_Depth_to_Water_Table_AnnualMean,GPWv4_Population_Density,HansenEtAl_TreeCover_Year2010,Lat,Lon,MODIS_GPP,MODIS_NDVI,Smpl_ID,WWF_Biome,.geo
000000000000000000bf,1705.0,133.24220275878906,390.45361328125,468.1944274902344,266.9090881347656,121.49781799316406,70.03927612304688,195.20681762695312,195.20681762695312,83.81243896484375,7.4061598777771,68.2500991821289,190.03465270996094,8.0,25.93364715576172,25.93364715576172,70.63379669189453,197.968017578125,259.5029602050781,4617.5244140625,0.0,0.0,South Africa,AF,3255.0,17711.0,8054.0,1011.5,16.05411148071289,0.0,139.89662170410156,0.8895752429962158,1.5896999835968018,-32.4254,19.1316,6619.79248046875,3441.947265625,ZACHIR92,12,"{""type"":""Point"",""coordinates"":[19.131599164868458,-32.425401198879264]}"
000000000000000000c2,3934.0,176.32000732421875,670.6485595703125,481.82000732421875,259.94049072265625,84.84353637695312,135.4720001220703,145.462158203125,216.98977661132812,181.8258056640625,83.85081481933594,30.718713760375977,97.93335723876953,31.999719619750977,96.96626281738281,197.98301696777344,79.96646881103516,233.93280029296875,176.0896759033203,2887.556640625,0.0,0.0,South Africa,AF,5172.0,14158.0,7237.0,422.5,4.525040149688721,0.29807713627815247,24.43290138244629,7.162844657897949,39.279300689697266,-33.37,26.5361,13784.0234375,6661.9931640625,ZACHIR50,10,"{""type"":""Point"",""coordinates"":[26.536101450854314,-33.36999932963702]}"
000000000000000000c3,4161.0,134.9029998779297,817.62890625,511.4538269042969,231.95773315429688,105.34115600585938,86.62815856933594,86.62815856933594,178.66909790039062,145.17083740234375,25.99357795715332,46.891700744628906,69.19929504394531,22.06643295288086,69.19929504394531,279.64801025390625,111.1327133178711,315.3818664550781,205.9641571044922,3225.15625,0.0,0.0,South Africa,AF,5275.0,21135.0,8653.0,1337.0,13.983293533325195,1.7788459062576294,15.864991188049316,23.15074920654297,80.95989990234375,-32.5924,26.9585,21965.98828125,8046.7802734375,13267863,10,"{""type"":""Point"",""coordinates"":[26.958498716344078,-32.59239899243186]}"
000000000000000000c4,3935.0,175.58973693847656,623.4610595703125,484.8466491699219,260.9449768066406,87.14972686767578,134.00975036621094,134.33921813964844,216.79782104492188,181.5403594970703,81.19799041748047,29.410757064819336,93.11581420898438,31.0164852142334,93.08263397216797,176.0977783203125,74.04944610595703,220.11495971679688,179.74700927734375,2933.425537109375,0.0,0.0,South Africa,AF,5227.0,22621.0,8848.0,427.5,7.46356725692749,0.10576929152011871,1.7938101291656494,4.536955833435059,26.90530014038086,-33.3608,26.4833,11407.9375,5713.0263671875,13267721,10,"{""type"":""Point"",""coordinates"":[26.483301235280464,-33.36080020416377]}"
000000000000000000c5,3935.0,175.58973693847656,623.4610595703125,484.8466491699219,260.9449768066406,87.14972686767578,134.00975036621094,134.33921813964844,216.79782104492188,181.5403594970703,81.19799041748047,29.410757064819336,93.11581420898438,31.0164852142334,93.08263397216797,176.0977783203125,74.04944610595703,220.11495971679688,179.74700927734375,2933.425537109375,0.0,0.0,South Africa,AF,5227.0,22621.0,8848.0,427.5,7.46356725692749,0.10576929152011871,1.7938101291656494,4.536955833435059,26.90530014038086,-33.3608,26.4833,11407.9375,5713.0263671875,13267714,10,"{""type"":""Point"",""coordinates"":[26.483301235280464,-33.36080020416377]}"
000000000000000000c0,4099.0,163.5614013671875,744.68017578125,482.66339111328125,248.6948699951172,86.48937225341797,121.97478485107422,122.30308532714844,204.9059600830078,169.59678649902344,69.50294494628906,23.799421310424805,122.81586456298828,40.91631317138672,122.79888916015625,204.1163787841797,83.01620483398438,244.98281860351562,179.19192504882812,2935.955078125,0.0,0.0,South Africa,AF,5202.0,18283.0,8218.0,661.0,9.26836109161377,0.0,60.307884216308594,5.494457721710205,28.244300842285156,-33.3582,26.5141,11300.4541015625,5607.59912109375,ZACHIR85,10,"{""type"":""Point"",""coordinates"":[26.514100246256618,-33.358200548249606]}"
000000000000000000c1,4099.0,163.5614013671875,744.68017578125,482.66339111328125,248.6948699951172,86.48937225341797,121.97478485107422,122.30308532714844,204.9059600830078,169.59678649902344,69.50294494628906,23.799421310424805,122.81586456298828,40.91631317138672,122.79888916015625,204.1163787841797,83.01620483398438,244.98281860351562,179.19192504882812,2935.955078125,0.0,0.0,South Africa,AF,5202.0,18283.0,8218.0,661.0,9.26836109161377,0.0,60.307884216308594,5.494457721710205,28.244300842285156,-33.3582,26.5141,11300.4541015625,5607.59912109375,ZACHIR84,10,"{""type"":""Point"",""coordinates"":[26.514100246256618,-33.358200548249606]}"
00000000000000000004,13124.0,165.77645874023438,1712.0028076171875,225.42738342285156,303.0734558105469,63.962310791015625,63.06393051147461,95.85053253173828,267.55816650390625,243.6031494140625,19.334896087646484,40.81707763671875,205.44715881347656,57.84922409057617,204.44715881347656,611.9644775390625,234.3660888671875,697.09375,283.7385559082031,7442.34716796875,0.0,0.0,China,EA,6762.0,14385.0,6896.0,443.5,24.306686401367188,9.562498092651367,0.28709372878074646,15.613490104675293,77.16719818115234,28.6327,120.576,16892.7578125,7194.921875,XJ223,1,"{""type"":""Point"",""coordinates"":[120.57600098042745,28.632699420567704]}"
00000000000000000005,15448.0,151.71498107910156,2145.713134765625,222.96424865722656,284.49993896484375,61.20985794067383,52.28956985473633,52.28956985473633,251.12754821777344,228.3963623046875,9.97226333618164,43.24040222167969,237.94898986816406,67.98299407958984,237.94898986816406,787.7723999023438,307.831298828125,904.258544921875,274.52764892578125,7258.2509765625,0.0,0.0,China,EA,6987.0,16704.0,7848.0,681.0,17.626117706298828,11.225959777832031,37.877262115478516,25.869428634643555,80.37550354003906,28.598,120.671,16162.8720703125,7195.244140625,XJ99,1,"{""type"":""Point"",""coordinates"":[120.6710021283711,28.597998696169796]}"
00000000000000000007,12004.0,179.2847137451172,1512.4945068359375,173.22633361816406,298.5494079589844,43.21101379394531,82.4482650756836,83.81795501708984,276.9270324707031,256.4764709472656,49.101051330566406,51.9680290222168,183.5830078125,39.916770935058594,135.74974060058594,601.6978759765625,234.7983856201172,616.5325317382812,249.44833374023438,7115.4404296875,0.0,0.0,China,EA,6869.0,19421.0,8309.0,114.0,12.723915100097656,0.5961532592773438,13.769192695617676,171.1748809814453,37.9182014465332,28.3002,120.992,11883.04296875,6194.33544921875,ZJ217,1,"{""type"":""Point"",""coordinates"":[120.9919994359055,28.300202091416466]}"
